nrZlecenia,SalesId,String,String,
nrArtykulu,ItemId,String,String,
nazwaArtykulu,Name,String,String,
iloscZamowiona,QtyOrdered,Double,BigDecimal,2
iloscPozostalaDoWydania,RemainSalesPhysical,Double,BigDecimal,2
dataDostawy,ConfirmedDlv,LocalDate,LocalDate,
jednostkaSalesUnit,SalesUnit,String,String,
nrProjektu,Dimension4,String,String,
nrBudowy,Dimension5,String,String,
nrKlienta,CustAccount,String,String,
nrWierszaWZleceniu,CCSI_SalesLineNum,String,String,
typBiznesu,CCSI_SalesType,String,String,
statusWiersza,CCSI_SalesLineStatus,Integer,Integer,
masaJednostkowa,CCSI_Weight,Double,BigDecimal,4
cenaSprzedazyZaJednostke,CCSI_SalesListPrice,Double,BigDecimal,4
jednostkaSalesPriceUnit,CCSI_SalesPriceUnit,String,String,
tonaz,CCSI_Tonnage,Double,BigDecimal,2
pozostalyTonazDoWydania,CCSI_TonnageRemain,Double,BigDecimal,2
dataModyfikacji,modifiedDateTime,LocalDateTime,LocalDateTime,
dataCzasUtworzenia,createdDateTime,LocalDateTime,LocalDateTime,
ktoStworzyl,createdBy,String,String,
